X Y Theta DesX DesY DesTheta 
0.240070038612 0.0 0.0 0.25 0.0 0.0
0.231982730042 0.0644792590562 0.00356189643264 0.241481456572 0.0647047612756 0.0
0.207337976388 0.124658560118 0.00356189643264 0.216506350946 0.125 0.0
0.167632925639 0.176337938663 0.0044523705408 0.176776695297 0.176776695297 0.0
0.115847971301 0.215944155875 0.00356189643264 0.125 0.216506350946 0.0
0.0555254734035 0.240822275922 0.00356189643264 0.0647047612756 0.241481456572 0.0
-0.0096561072365 0.249075827413 0.0044523705408 1.53080849893e-17 0.25 0.0
-0.0555254734035 0.240822275922 -0.00356189643264 -0.0647047612756 0.241481456572 0.0
-0.115847971301 0.215944155875 -0.00356189643264 -0.125 0.216506350946 0.0
-0.167632925639 0.176337938663 -0.0044523705408 -0.176776695297 0.176776695297 0.0
-0.207337976388 0.124658560118 -0.00356189643264 -0.216506350946 0.125 0.0
-0.231982730042 0.0644792590562 -0.00356189643264 -0.241481456572 0.0647047612756 0.0
-0.240070038612 0.0 0.0 -0.25 3.06161699787e-17 0.0
-0.231982730042 -0.0644792590562 0.00356189643264 -0.241481456572 -0.0647047612756 0.0
-0.207337976388 -0.124658560118 0.00356189643264 -0.216506350946 -0.125 0.0
-0.167632925639 -0.176337938663 0.0044523705408 -0.176776695297 -0.176776695297 0.0
-0.115847971301 -0.215944155875 0.00356189643264 -0.125 -0.216506350946 0.0
-0.0555254734035 -0.240822275922 0.00356189643264 -0.0647047612756 -0.241481456572 0.0
-0.0096561072365 -0.249075827413 -0.0044523705408 1.53080849893e-17 -0.25 0.0
0.0555254734035 -0.240822275922 -0.00356189643264 0.0647047612756 -0.241481456572 0.0
0.115847971301 -0.215944155875 -0.00356189643264 0.125 -0.216506350946 0.0
0.167632925639 -0.176337938663 -0.0044523705408 0.176776695297 -0.176776695297 0.0
0.207337976388 -0.124658560118 -0.00356189643264 0.216506350946 -0.125 0.0
0.231982730042 -0.0644792590562 -0.00356189643264 0.241481456572 -0.0647047612756 0.0
