X Y Theta DesX DesY DesTheta 
0.0 0.0 0.258237491367 0.0 0.0 0.261799387799
0.0 0.0 0.520036879166 0.0 0.0 0.523598775598
0.0 0.0 0.781836266965 0.0 0.0 0.785398163397
0.0 0.0 1.04363565476 0.0 0.0 1.0471975512
0.0 0.0 1.30543504256 0.0 0.0 1.308996939
0.0 0.0 1.56723443036 0.0 0.0 1.57079632679
0.0 0.0 1.82903381816 0.0 0.0 1.83259571459
0.0 0.0 2.09083320596 0.0 0.0 2.09439510239
0.0 0.0 2.35263259376 0.0 0.0 2.35619449019
0.0 0.0 2.61443198156 0.0 0.0 2.61799387799
0.0 0.0 2.87623136936 0.0 0.0 2.87979326579
0.0 0.0 3.13803075716 0.0 0.0 3.14159265359
0.0 0.0 -2.87623136936 0.0 0.0 -2.87979326579
0.0 0.0 -2.61443198156 0.0 0.0 -2.61799387799
0.0 0.0 -2.35263259376 0.0 0.0 -2.35619449019
0.0 0.0 -2.09083320596 0.0 0.0 -2.09439510239
0.0 0.0 -1.82903381816 0.0 0.0 -1.83259571459
0.0 0.0 -1.56723443036 0.0 0.0 -1.57079632679
0.0 0.0 -1.30543504256 0.0 0.0 -1.308996939
0.0 0.0 -1.04363565476 0.0 0.0 -1.0471975512
0.0 0.0 -0.781836266965 0.0 0.0 -0.785398163397
0.0 0.0 -0.520036879166 0.0 0.0 -0.523598775598
0.0 0.0 -0.258237491367 0.0 0.0 -0.261799387799
0.0 0.0 0.0 0.0 0.0 0.0
